name,jurisdiction,Display Community,address,lat,lng,Additional description,id,Status notes,
Biegel Rd ,FCO,Fayette County,"Biegel Rd, Fayetteville, TX 78940",29.872675,-96.727882,3/4 mi NW of FM 955,1289,,
Coufal Rd ,FCO,Fayette County,"1060 Coufal Rd, Fayetteville, TX 78940",29.951349,-96.648018,1 mi NW of SH 159,1291,,
Florida Chapel Rd ,FCO,Fayette County,"Florida Chapel Rd, Round Top, TX 78954",30.013075,-96.696213,1/4 mi N of FM 954,1292,,
Halamicek Loop North,FCO,Fayette County,"6050 Halamicek Loop, Fayetteville, TX 78940",29.981316,-96.694817,near FM 1291,1293,,
Halamicek Loop South,FCO,Fayette County,"9198 Halamicek Loop, Fayetteville, TX 78940",29.986668,-96.709984,near FM 1291,1294,,
Halstedt Rd ,FCO,Fayette County,"1362 Halstedt Rd, La Grange, TX 78945",29.911163,-96.77404,at Baylor Creek,1295,,
Halstedt Rd ,FCO,Fayette County,"1242 Halstedt Rd, La Grange, TX 78945",29.913155,-96.776314,near Tietjen Rd,1296,,
Hattermann Rd ,FCO,Fayette County,"751 Hatterman Rd, La Grange, TX 78945",29.905788,-96.796333,1/4 mi W of Baumbach Rd,1297,,
Haw Creek Rd ,FCO,Fayette County,"2726 Haw Creek Rd, Fayetteville, TX 78940",29.962914,-96.679878,near FM 1291,1298,,
Janssen Ln ,FCO,Fayette County,"2709 Janssen Ln, La Grange, TX 78945",29.930933,-96.859009,3/4 mi NW of SH 159,1299,,
Joiner Rd ,FCO,Fayette County,"898 Joiner Rd, La Grange, TX 78945",29.88973,-96.78801,3/4 mi S of SH 71,1300,,
Jurecka Rd ,FCO,Fayette County,"2100 Jurecka Rd, Fayetteville, TX 78940",29.895878,-96.722237,at Ross Creek,1301,,
Kramr Rd ,FCO,Fayette County,"1225 Kramr Rd, Fayetteville, TX 78940",29.880827,-96.673958,near Ross Prairie Church Rd,1302,,
McCormick Rd ,FCO,Fayette County,"900 McCormick Rd, Round Top, TX 78954",29.999363,-96.795174,at Clear Creek,1303,,
Rocky Creek Rd ,FCO,Fayette County,"Rocky Creek Rd & Ruether Rd, La Grange, TX 78945",29.934692,-96.805496,at Ruether Rd,1304,,
Rocky Creek Rd ,FCO,Fayette County,"1627 Rocky Creek Rd, La Grange, TX 78945",29.913063,-96.841522,1/4 mi E of SH 71,1305,,
Rocky Creek Rd ,FCO,Fayette County,"2948 Rocky Creek Rd, La Grange, TX 78945",29.913198,-96.821503,1 1/2 mi E of SH 71,1306,,
Rocky Creek Rd ,FCO,Fayette County,"2300 Rocky Creek Rd, La Grange, TX 78945",29.913774,-96.83107,at High Hill Creek,1307,,
Rohde Rd ,FCO,Fayette County,"3254 Rohde Rd, Round Top, TX 78954",30.051666,-96.739403,SE of Weyand Rd,1308,,
Roznov Rd ,FCO,Fayette County,Roznov Rd - ,29.981155,-96.726379,3/4 mi SW of FM 1291,1309,,
Sand Rock Rd ,FCO,Fayette County,Sand Rock Rd ,29.95727,-96.809959,NW of Wied Rd,1310,,
Shumacher Rd ,FCO,Fayette County,Shumacher Rd,29.861704,-96.715393,near FM 955,1311,,
